Abbreviation,Taxonomy ID,relevant taxonomy,Scientific name,Lineage.set,BUSCO_completeness,BUSCO_single,BUSCO_duplicated,BUSCO_fragmented,BUSCO_missing,PreLECASubset,Download location,Ref,Download date proteome,fasta_header_type,proteome_fasta_file,Genome/transcriptome,Genome_location,SMC2,SMC4,CAPH,CAPG,CAPD2,CAPH2,CAPG2,CAPD3,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
TRESPE,460178,Metamonada,Trepomonas sp.,eukaryota_odb10,20.0,,,6.274509804,73.7254902,False,EukProt,,20220328,eukprot,EP00703_Trepomonas_sp_PC1.fasta,transcriptome,,TRESPE000873,TRESPE005325,TRESPE001437,,TRESPE005710,TRESPE003101,TRESPE001068,TRESPE003367,TRESPE002893,TRESPE005903,TRESPE007885,,,,,,,,,,,,TRESPE003345,,TRESPE004075;TRESPE001819,TRESPE003951;TRESPE004133,TRESPE001089,,,,,
ANDGOD,505711,Discoba,Andalucia godoyi,eukaryota_odb10,79.21568627,,,5.490196078,15.29411765,True,EukProt,,20220328,eukprot,EP00762_Andalucia_godoyi.fasta,genome,https://megasun.bch.umontreal.ca/papers/Jakobid-genomes/Andalucia_godoyi/Andalucia_godoyi_proteins_V16.faa,ANDGOD007086,ANDGOD007886,ANDGOD001315,ANDGOD000226,ANDGOD001704,ANDGOD003141,ANDGOD002759,ANDGOD000963,ANDGOD002040,ANDGOD007861,ANDGOD004330,ANDGOD001128,ANDGOD005211,ANDGOD004322,ANDGOD006937,,ANDGOD001513,ANDGOD001145,,,,,ANDGOD007192,,ANDGOD001873,ANDGOD007543,ANDGOD004141,ANDGOD002651,ANDGOD005953,ANDGOD005916,,
STYINC,1712417,Discoba,Stygiella incarcerata,eukaryota_odb10,70.37037037,,,5.555555556,24.07407407,False,EukProt,,20220328,eukprot,EP01028_Stygiella_incarcerata.fasta,transcriptome,,STYINC009473,STYINC005101,STYINC013830,STYINC005476;STYINC004351,STYINC002106,STYINC008632,STYINC007229,STYINC006748,STYINC001079;STYINC001080,STYINC005070,STYINC004007;STYINC003520,,STYINC007542,STYINC014331,STYINC012228,STYINC006155,STYINC004518,STYINC006073,,,,,STYINC000870,,STYINC014541,STYINC006497;STYINC006496,,STYINC005668;STYINC005667,,STYINC008881,,
PHAKIR,63601,Discoba,Pharyngomonas kirbyi,eukaryota_odb10,85.32818533,,,6.563706564,8.108108108,True,EukProt,,20220328,eukprot,EP00761_Pharyngomonas_kirbyi.fasta,transcriptome,,PHAKIR000835,PHAKIR005394;PHAKIR005946,PHAKIR006263;PHAKIR006470,PHAKIR012975;PHAKIR008463;PHAKIR005115,PHAKIR009241,,,,PHAKIR000070;PHAKIR000156,PHAKIR002451,PHAKIR000103,,PHAKIR004855,PHAKIR012041;PHAKIR007570,PHAKIR004845,PHAKIR005387;PHAKIR003641,PHAKIR005626,PHAKIR002975;PHAKIR007440,,,PHAKIR006234,PHAKIR005489,PHAKIR004982,,PHAKIR003767,PHAKIR000506,PHAKIR014492;PHAKIR010300,PHAKIR001109,PHAKIR000236,PHAKIR001445,,
NEODAM,166956,Discoba,Neovahlkampfia damariscottae,eukaryota_odb10,86.87258687,,,4.633204633,8.494208494,False,EukProt,,20220328,eukprot,EP01080_Neovahlkampfia_damariscottae.fasta,genome,http://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/618/085/GCA_016618085.1_ASM1661808v1/GCA_016618085.1_ASM1661808v1_genomic.fna.gz,NEODAM003009,NEODAM000698,NEODAM003571;NEODAM009965,NEODAM012834,NEODAM007483,NEODAM010762,NEODAM009381,NEODAM005679,NEODAM009786,NEODAM003454,NEODAM002211,NEODAM009949,NEODAM000880,NEODAM002637,NEODAM010260,NEODAM000076,NEODAM005264,NEODAM010185;NEODAM007407,,,NEODAM009678,NEODAM002622,NEODAM007482,,NEODAM003347,NEODAM007884,NEODAM009119,NEODAM001755,NEODAM011704,NEODAM010806,,
NAEFOW,5763,Discoba,Naegleria fowleri,eukaryota_odb10,88.50574713,,,2.298850575,9.195402299,True,https://zenodo.org/record/3951746/files/NfowleriV212_proteins.fa?download=1,,20220419,generic,NfowleriV212_proteins.fa?download=1,genome,https://zenodo.org/record/3951746/files/Naegleria_30863_filtered.fa?download=1,NAEFOW000571,NAEFOW000010,NAEFOW008318,NAEFOW006920,NAEFOW009146;NAEFOW010541,,,,NAEFOW001121,NAEFOW007263,NAEFOW013552,NAEFOW006004,NAEFOW008366,NAEFOW001640,NAEFOW000093,NAEFOW009246;NAEFOW009244,NAEFOW002844,NAEFOW007601;NAEFOW001282,NAEFOW014105,,,,NAEFOW011604,,NAEFOW000509,NAEFOW015045,NAEFOW003151,NAEFOW000768,NAEFOW006471,NAEFOW010546,,
PERSWS,2833398,Discoba,Percolomonas sp WS,eukaryota_odb10,59.77443609,,,3.759398496,36.46616541,False,EukProt,,20220328,eukprot,EP00818_Percolomonas_sp_WS.fasta,transcriptome,,PERSWS008668,PERSWS008545;PERSWS008589;PERSWS008579,PERSWS005232,PERSWS008744,PERSWS008599,,,PERSWS000137,PERSWS008544,PERSWS004621,PERSWS001960,PERSWS001484,PERSWS004680;PERSWS008486,PERSWS009202,PERSWS004417,PERSWS005144,PERSWS002840,,,,PERSWS000312,PERSWS004566,,,PERSWS008924,PERSWS008954,PERSWS009842,,PERSWS009956,PERSWS005874;PERSWS009306,,
ENTSUL,101493,Discoba,Entosiphon sulcatum,eukaryota_odb10,71.32352941,,,11.39705882,17.27941176,False,EukProt,,20220328,eukprot,EP01012_Entosiphon_sulcatum.fasta,transcriptome,,ENTSUL031690,ENTSUL018950;ENTSUL018948;ENTSUL059761,ENTSUL067931;ENTSUL027546;ENTSUL035524,ENTSUL015204,ENTSUL043218;ENTSUL016420;ENTSUL055267,ENTSUL022454,ENTSUL016217,ENTSUL008213;ENTSUL042449;ENTSUL065385,ENTSUL003545;ENTSUL032979,ENTSUL036669,ENTSUL063839;ENTSUL063838,,ENTSUL034147,ENTSUL025142;ENTSUL055465,ENTSUL028577;ENTSUL034851,,,ENTSUL049327;ENTSUL023196,,,,,ENTSUL003663,,ENTSUL035209,ENTSUL008833,ENTSUL000125,,ENTSUL020127,ENTSUL053654,,
EUGLON,3037,Discoba,Euglena longa,eukaryota_odb10,84.03041825,,,6.463878327,9.505703422,True,EukProt,,20220328,eukprot,EP00668_Euglena_longa.fasta,transcriptome,,EUGLON001329,EUGLON000887,EUGLON015281,EUGLON012432,EUGLON039591;EUGLON013240;EUGLON031130,EUGLON029629,EUGLON042682,EUGLON000987,EUGLON038967;EUGLON014080,EUGLON045559;EUGLON031599,EUGLON048421,,EUGLON013951;EUGLON029933,EUGLON042982;EUGLON012837,EUGLON014086;EUGLON014087,EUGLON017597;EUGLON043652,EUGLON011896;EUGLON012459,EUGLON043031;EUGLON029233,EUGLON011761,,,,EUGLON029627;EUGLON029719,,EUGLON002164,EUGLON012547;EUGLON038882,EUGLON004105,EUGLON045103,EUGLON034973,EUGLON033352,,EUGLON044279
HEMPHA,1503927,Discoba,Hemistasia phaeocysticola,eukaryota_odb10,69.11764706,,,8.823529412,22.05882353,False,EukProt,,20220328,eukprot,EP00756_Hemistasia_phaeocysticola.fasta,transcriptome,,HEMPHA018276,HEMPHA003657,HEMPHA012666,HEMPHA007686,HEMPHA025704;HEMPHA011039,HEMPHA010843,HEMPHA011357,HEMPHA042820,HEMPHA020163,HEMPHA013934;HEMPHA013935,HEMPHA041280,,HEMPHA031118,HEMPHA030287,HEMPHA006508;HEMPHA036633,HEMPHA051284,HEMPHA055442,HEMPHA029034;HEMPHA059186,,,,,HEMPHA036519,,,,,,,,,
RHYHUM,2016123,Discoba,Rhynchopus humris,eukaryota_odb10,70.22058824,,,7.720588235,22.05882353,False,EukProt,,20220328,eukprot,EP00754_Rhynchopus_humris.fasta,transcriptome,,RHYHUM045505,RHYHUM048315,RHYHUM027297;RHYHUM023338,RHYHUM021428,RHYHUM012679,RHYHUM040740,RHYHUM020754,RHYHUM019885,RHYHUM037927,RHYHUM036829,RHYHUM043952,,RHYHUM006826,RHYHUM044744,RHYHUM020416,RHYHUM016820,,RHYHUM037966;RHYHUM005809,,,,,RHYHUM009862,,,,,,,,,
PAPANK,2795267,Discoba,Papus ankaliazontas,eukaryota_odb10,66.17647059,,,6.985294118,26.83823529,False,EukProt,,20220328,eukprot,EP00760_Papus_ankaliazontas.fasta,transcriptome,,PAPANK005677,PAPANK007401,PAPANK017394,PAPANK026835,PAPANK026024;PAPANK026023;PAPANK018825,,,,PAPANK006999,PAPANK006970,PAPANK014803,,PAPANK017543,PAPANK012073,PAPANK007488,PAPANK015749,PAPANK012533,PAPANK038719;PAPANK029980,PAPANK033675,,,,PAPANK024656,,,,,,,,,
APISPI,2795268,Discoba,Apiculatamorpha spiralis,eukaryota_odb10,66.42066421,,,7.749077491,25.8302583,False,EukProt,,20220328,eukprot,EP00759_Apiculatamorpha_spiralis.fasta,transcriptome,,APISPI004587;APISPI004586,APISPI026410,APISPI042734;APISPI045043;APISPI045042,APISPI001580;APISPI001579,APISPI055575,,,,APISPI005943,APISPI058635,APISPI007693,,APISPI047009,APISPI047560,APISPI036354;APISPI036355,APISPI050270,APISPI053032,APISPI028251;APISPI028250;APISPI005982,,,,,APISPI052237,,,,,,,,,
PERSPE,1314962,Discoba,Perkinsela sp. CCAP 1560/4,eukaryota_odb10,35.13513514,,,6.563706564,58.3011583,False,http://ftp.ensemblgenomes.org/pub/protists/release-53/fasta/protists_euglenozoa1_collection/perkinsela_sp_ccap_1560_4_gca_001235845/pep/Perkinsela_sp_ccap_1560_4_gca_001235845.ASM123584v1.pep.all.fa.gz,,20220419,ensembl,Perkinsela_sp_ccap_1560_4_gca_001235845.ASM123584v1.pep.all.fa,genome,http://ftp.ensemblgenomes.org/pub/protists/release-53/fasta/protists_euglenozoa1_collection/perkinsela_sp_ccap_1560_4_gca_001235845/dna/Perkinsela_sp_ccap_1560_4_gca_001235845.ASM123584v1.dna.toplevel.fa.gz,PERSPE003335,PERSPE000228,PERSPE001737,PERSPE002291,PERSPE004160,,,,PERSPE005094,PERSPE002508,PERSPE000619,,PERSPE001905,PERSPE001198,,PERSPE003344,,PERSPE000462,,,,,PERSPE000819,,,,,,,,,
BODSAL,75058,Discoba,Bodo saltans,eukaryota_odb10,55.5984556,,,9.266409266,35.13513514,False,ftp://ftp.ensemblgenomes.org:21/pub/release-34/protists/fasta/protists_euglenozoa1_collection/bodo_saltans/pep/Bodo_saltans.BSAL.pep.all.fa.gz,,euk4,ensembl,Bodo_saltans.BSAL.pep.all.fa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/genbank/protozoa/Bodo_saltans/all_assembly_versions/GCA_001460835.1_BSAL/GCA_001460835.1_BSAL_genomic.fna.gz ,BODSAL001711;BODSAL000161,BODSAL010681,BODSAL012312,BODSAL007392,BODSAL007349,,,,BODSAL010293,BODSAL006228;BODSAL006227,BODSAL013833,,BODSAL016446,BODSAL017100,BODSAL001246,BODSAL003418,BODSAL017896,,,,,,BODSAL009361;BODSAL009362,,,,,,,,,
LEIMAJ,5664,Discoba,Leishmania major,eukaryota_odb10,53.87596899,,,10.07751938,36.04651163,False,http://ftp.ensemblgenomes.org/pub/protists/release-53/fasta/leishmania_major/pep/Leishmania_major.ASM272v2.pep.all.fa.gz,,euk4,ensembl,Leishmania_major.ASM272v2.pep.all.fa,genome,ftp.ensemblgenomes.org/pub/protists/release-53/fasta/leishmania_major/dna/Leishmania_major.ASM272v2.dna.toplevel.fa.gz,LEIMAJ000497,LEIMAJ002965,LEIMAJ000603,LEIMAJ004828,LEIMAJ001955,,,,LEIMAJ007480,LEIMAJ000893,LEIMAJ000447,,LEIMAJ007701,LEIMAJ001287,LEIMAJ001487,LEIMAJ002523,LEIMAJ006841,LEIMAJ002729;LEIMAJ000203,,,,,LEIMAJ002775,,,,,,,,,
TRYBRU,5691,Discoba,Trypanosoma brucei,eukaryota_odb10,57.75193798,,,6.589147287,35.65891473,False,http://ftp.ensemblgenomes.org/pub/protists/release-53/fasta/trypanosoma_brucei/pep/Trypanosoma_brucei.TryBru_Apr2005_chr11.pep.all.fa.gz,,20220419,ensembl,Trypanosoma_brucei.TryBru_Apr2005_chr11.pep.all.fa,genome,ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1/GCF_000210295.1_ASM21029v1_genomic.fna.gz,TRYBRU005166,TRYBRU005048,TRYBRU007268,TRYBRU004246,TRYBRU003348,,,,TRYBRU003939,TRYBRU004529,TRYBRU006766,,TRYBRU005593,TRYBRU001866,TRYBRU001302,TRYBRU005781,TRYBRU000325,TRYBRU000722;TRYBRU005316,,,,,TRYBRU000797,,,,,,,,,
ANCTWI,2044563,Ancoracysta,Ancoracysta twista,eukaryota_odb10,58.33333333,,,21.59090909,20.07575758,False,EukProt,,20220328,eukprot,EP00164_Ancoracysta_twista.fasta,transcriptome,,ANCTWI017918;ANCTWI020666;ANCTWI038030;ANCTWI017662;ANCTWI021033;ANCTWI016027,ANCTWI029822;ANCTWI013260;ANCTWI014006,ANCTWI030141;ANCTWI012966;ANCTWI018474,ANCTWI029002,ANCTWI018265,ANCTWI037692;ANCTWI022349;ANCTWI019560,ANCTWI037428,ANCTWI033624;ANCTWI035869,ANCTWI029425;ANCTWI020883,ANCTWI033236;ANCTWI031186;ANCTWI037784;ANCTWI031542;ANCTWI034684,ANCTWI014576;ANCTWI010544,,,ANCTWI027641;ANCTWI038195;ANCTWI034655;ANCTWI035718;ANCTWI035612,,,ANCTWI019123,ANCTWI021900,ANCTWI009283,,,ANCTWI012094,ANCTWI001292;ANCTWI026616;ANCTWI031489,,ANCTWI023896;ANCTWI036709;ANCTWI019577,ANCTWI016178;ANCTWI015952;ANCTWI030208;ANCTWI026770,ANCTWI012564,ANCTWI012118,ANCTWI011873,ANCTWI014867;ANCTWI017727,,ANCTWI020639
HEMKUK,2027451,Hemimastigophora,Hemimastix kukwesjijk,eukaryota_odb10,50.18587361,,,10.03717472,39.77695167,True,EukProt,,20220328,eukprot,EP00696_Hemimastix_kukwesjijk.fasta,transcriptome,,HEMKUK018451,HEMKUK002908,HEMKUK010761,,HEMKUK001723,,,HEMKUK007360,,HEMKUK003044,HEMKUK002683;HEMKUK012904,HEMKUK018763;HEMKUK018762,,,,,,,HEMKUK016059,,,,HEMKUK006396,,,,,HEMKUK001857,,,HEMKUK010229,HEMKUK008178
SPISPE,2027452,Hemimastigophora,Spironema sp BW2,eukaryota_odb10,56.92883895,,,6.367041199,36.70411985,True,EukProt,,20220328,eukprot,EP00697_Spironema_sp_BW2.fasta,transcriptome,,,SPISPE010176;SPISPE016907,SPISPE008355,SPISPE002405,SPISPE005972;SPISPE005973,,,SPISPE001834,SPISPE009864,SPISPE008745;SPISPE008743,SPISPE006042,,,,,,SPISPE016320,,SPISPE001971,,,,,,,,,,,,SPISPE005735,
NUTLON,1246795,Ancyromonadida,Nutomonas longa,eukaryota_odb10,52.49042146,,,27.20306513,20.30651341,True,EukProt,,20220328,eukprot,EP00162_Nutomonas_longa.fasta,transcriptome,,NUTLON014893;NUTLON011107,NUTLON021493;NUTLON006809,NUTLON007204;NUTLON008521,NUTLON013132,NUTLON005478;NUTLON011892;NUTLON002055;NUTLON000426,NUTLON009910;NUTLON000017;NUTLON008997,NUTLON020239;NUTLON020684,NUTLON020110;NUTLON023002,NUTLON002372;NUTLON009635;NUTLON004034,NUTLON015031,NUTLON006722,NUTLON014959;NUTLON014960,NUTLON_FUSED,NUTLON021499;NUTLON006442;NUTLON010494;NUTLON022581,NUTLON020311;NUTLON019733,NUTLON024305,,NUTLON020104,NUTLON003261,,,,NUTLON020031,,NUTLON007422;NUTLON004447,NUTLON007412;NUTLON003059;NUTLON000785;NUTLON018661,NUTLON021067,NUTLON011783,NUTLON005733;NUTLON022973,NUTLON009082,,NUTLON004566
FABTRO,1246791,Ancyromonadida,Fabomonas tropica,eukaryota_odb11,52.23880597,,,23.50746269,24.25373134,False,EukProt,,20220328,eukprot,EP00163_Fabomonas_tropica.fasta,transcriptome,,FABTRO010945,FABTRO023685;FABTRO020235,FABTRO001947,,,FABTRO031645,,,FABTRO031193,FABTRO006624,FABTRO009384;FABTRO006908,FABTRO024523,,FABTRO010989;FABTRO023555;FABTRO013203,FABTRO027718;FABTRO018363;FABTRO018365,FABTRO007603,,,,,,,,,FABTRO022978,FABTRO014081;FABTRO033117;FABTRO014083,,FABTRO009458,,,,
GEFOKE,2853422,Malawimonadidae,Gefionella okellyi (strain 249),eukaryota_odb12,79.55390335,,,2.602230483,17.84386617,True,EukProt,,20220328,eukprot,EP00698_Gefionella_okellyi.fasta,transcriptome,,GEFOKE016359;GEFOKE016355;GEFOKE016354;GEFOKE016358,GEFOKE003480,GEFOKE001031;GEFOKE013832,GEFOKE006083,GEFOKE019648,GEFOKE007234,GEFOKE002171,GEFOKE000185,GEFOKE004874,GEFOKE003554,GEFOKE006931;GEFOKE006930,GEFOKE015989;GEFOKE015992;GEFOKE015985,GEFOKE014526,GEFOKE022271,GEFOKE002211,GEFOKE022313,GEFOKE011272,,,,,GEFOKE025995,GEFOKE016177;GEFOKE016178;GEFOKE016179,,GEFOKE015625,GEFOKE005571,,GEFOKE015996,GEFOKE012518,GEFOKE002951;GEFOKE021651;GEFOKE024076;GEFOKE024738,GEFOKE015595,
RIGRAM,1122280,CRuMs,Rigifila ramosa,eukaryota_odb13,87.14285714,,,6.785714286,6.071428571,False,EukProt,,20220328,eukprot,EP00004_Rigifila_ramosa.fasta,transcriptome,,RIGRAM018065;RIGRAM018066;RIGRAM018069;RIGRAM018068,RIGRAM025524,RIGRAM007754,RIGRAM024006,RIGRAM021906;RIGRAM021905,RIGRAM024198,RIGRAM027830;RIGRAM027829,RIGRAM024991,RIGRAM016281,RIGRAM023938,RIGRAM013984,RIGRAM010561,RIGRAM002296,RIGRAM012453;RIGRAM012450;RIGRAM012454,RIGRAM025878,RIGRAM026835,RIGRAM025699;RIGRAM025700,RIGRAM021886,,RIGRAM026665,,,,,RIGRAM018336;RIGRAM018337;RIGRAM003272,RIGRAM026464,RIGRAM003012,RIGRAM012211;RIGRAM012212,RIGRAM017769,RIGRAM012510;RIGRAM012511,,RIGRAM025880;RIGRAM025881
